1	*	186	50	0	0	111
2	A	64	45	0	0	1010
3	B	13	33	0	0	100000
4	C	22	37	0	0	00000
5	D	32	39	0	0	10110
6	E	103	48	0	0	010
7	F	21	36	0	0	110011
8	G	15	33	0	0	100001
9	H	47	41	0	0	0001
10	I	57	43	0	0	0110
11	J	1	28	0	0	1100001000
12	K	5	31	0	0	11000011
13	L	32	39	0	0	10111
14	M	20	36	0	0	110010
15	N	57	43	0	0	0111
16	O	63	44	0	0	1001
17	P	15	34	0	0	100010
18	Q	1	28	0	0	1100001001
19	R	48	42	0	0	0010
20	S	51	42	0	0	0011
21	T	80	46	0	0	1101
22	U	23	37	0	0	00001
23	V	8	32	0	0	1100000
24	W	18	35	0	0	110001
25	X	1	29	0	0	1100001010
26	Y	16	34	0	0	100011
27	Z	1	29	0	0	1100001011
28	+	2	30	11	18	NULL
29	+	2	30	25	27	NULL
30	+	4	31	28	29	NULL
31	+	9	32	30	12	NULL
32	+	17	35	23	31	NULL
33	+	28	38	3	8	NULL
34	+	31	38	17	26	NULL
35	+	35	40	32	24	NULL
36	+	41	40	14	7	NULL
37	+	45	41	4	22	NULL
38	+	59	44	33	34	NULL
39	+	64	45	5	13	NULL
40	+	76	46	35	36	NULL
41	+	92	47	37	9	NULL
42	+	99	47	19	20	NULL
43	+	114	48	10	15	NULL
44	+	122	49	38	16	NULL
45	+	128	49	2	39	NULL
46	+	156	50	40	21	NULL
47	+	191	51	41	42	NULL
48	+	217	51	6	43	NULL
49	+	250	52	44	45	NULL
50	+	342	52	46	1	NULL
51	+	408	53	47	48	NULL
52	+	592	53	49	50	NULL
53	+	1000	0	51	52	NULL
